[2025-01-06T07:20:02.943+0000] {logging_mixin.py:150} INFO - Game 0042300302 processed successfully.
[2025-01-06T07:20:02.943+0000] {logging_mixin.py:150} INFO - Processing game ID: 0042300302
[2025-01-06T07:20:03.027+0000] {logging_mixin.py:150} INFO - Game 0042300302 processed successfully.
[2025-01-06T07:20:03.028+0000] {logging_mixin.py:150} INFO - Processing game ID: 0042300311
[2025-01-06T07:20:03.292+0000] {logging_mixin.py:150} INFO - Game 0042300311 processed successfully.
[2025-01-06T07:20:03.292+0000] {logging_mixin.py:150} INFO - Processing game ID: 0042300311
[2025-01-06T07:20:03.371+0000] {logging_mixin.py:150} INFO - Game 0042300311 processed successfully.
[2025-01-06T07:20:03.371+0000] {logging_mixin.py:150} INFO - Processing game ID: 0042300301
[2025-01-06T07:20:03.802+0000] {logging_mixin.py:150} INFO - Game 0042300301 processed successfully.
[2025-01-06T07:20:03.803+0000] {logging_mixin.py:150} INFO - Processing game ID: 0042300301
[2025-01-06T07:20:03.908+0000] {logging_mixin.py:150} INFO - Game 0042300301 processed successfully.
[2025-01-06T07:20:03.909+0000] {logging_mixin.py:150} INFO - Processing game ID: 0042300237
[2025-01-06T07:20:04.321+0000] {logging_mixin.py:150} INFO - Game 0042300237 processed successfully.
[2025-01-06T07:20:04.322+0000] {logging_mixin.py:150} INFO - Processing game ID: 0042300217
[2025-01-06T07:20:04.605+0000] {logging_mixin.py:150} INFO - Game 0042300217 processed successfully.
[2025-01-06T07:20:04.605+0000] {logging_mixin.py:150} INFO - Processing game ID: 0042300237
[2025-01-06T07:20:04.690+0000] {logging_mixin.py:150} INFO - Game 0042300237 processed successfully.
[2025-01-06T07:20:04.690+0000] {logging_mixin.py:150} INFO - Processing game ID: 0042300217
[2025-01-06T07:20:04.768+0000] {logging_mixin.py:150} INFO - Game 0042300217 processed successfully.
[2025-01-06T07:20:04.768+0000] {logging_mixin.py:150} INFO - Processing game ID: 0042300226
[2025-01-06T07:20:05.045+0000] {logging_mixin.py:150} INFO - Game 0042300226 processed successfully.
[2025-01-06T07:20:05.046+0000] {logging_mixin.py:150} INFO - Processing game ID: 0042300226
[2025-01-06T07:20:05.131+0000] {logging_mixin.py:150} INFO - Game 0042300226 processed successfully.
[2025-01-06T07:20:05.132+0000] {logging_mixin.py:150} INFO - Processing game ID: 0042300216
[2025-01-06T07:20:05.452+0000] {logging_mixin.py:150} INFO - Game 0042300216 processed successfully.
[2025-01-06T07:20:05.453+0000] {logging_mixin.py:150} INFO - Processing game ID: 0042300216
[2025-01-06T07:20:05.535+0000] {logging_mixin.py:150} INFO - Game 0042300216 processed successfully.
[2025-01-06T07:20:05.535+0000] {logging_mixin.py:150} INFO - Processing game ID: 0042300236
[2025-01-06T07:20:05.930+0000] {logging_mixin.py:150} INFO - Game 0042300236 processed successfully.
[2025-01-06T07:20:05.930+0000] {logging_mixin.py:150} INFO - Processing game ID: 0042300236
[2025-01-06T07:20:06.031+0000] {logging_mixin.py:150} INFO - Game 0042300236 processed successfully.
[2025-01-06T07:20:06.031+0000] {logging_mixin.py:150} INFO - Processing game ID: 0042300225
[2025-01-06T07:20:06.408+0000] {logging_mixin.py:150} INFO - Game 0042300225 processed successfully.
[2025-01-06T07:20:06.409+0000] {logging_mixin.py:150} INFO - Processing game ID: 0042300225
[2025-01-06T07:20:06.494+0000] {logging_mixin.py:150} INFO - Game 0042300225 processed successfully.
[2025-01-06T07:20:06.495+0000] {logging_mixin.py:150} INFO - Processing game ID: 0042300205
[2025-01-06T07:20:06.798+0000] {logging_mixin.py:150} INFO - Game 0042300205 processed successfully.
[2025-01-06T07:20:06.798+0000] {logging_mixin.py:150} INFO - Processing game ID: 0042300205
[2025-01-06T07:20:06.887+0000] {logging_mixin.py:150} INFO - Game 0042300205 processed successfully.
[2025-01-06T07:20:06.887+0000] {logging_mixin.py:150} INFO - Processing game ID: 0042300235
[2025-01-06T07:20:07.181+0000] {logging_mixin.py:150} INFO - Game 0042300235 processed successfully.
[2025-01-06T07:20:07.182+0000] {logging_mixin.py:150} INFO - Processing game ID: 0042300235
[2025-01-06T07:20:07.269+0000] {logging_mixin.py:150} INFO - Game 0042300235 processed successfully.
[2025-01-06T07:20:07.269+0000] {logging_mixin.py:150} INFO - Processing game ID: 0042300215
[2025-01-06T07:20:07.598+0000] {logging_mixin.py:150} INFO - Game 0042300215 processed successfully.
[2025-01-06T07:20:07.600+0000] {logging_mixin.py:150} INFO - Processing game ID: 0042300215
[2025-01-06T07:20:07.707+0000] {logging_mixin.py:150} INFO - Game 0042300215 processed successfully.
[2025-01-06T07:20:07.707+0000] {logging_mixin.py:150} INFO - Processing game ID: 0042300224
[2025-01-06T07:20:08.053+0000] {logging_mixin.py:150} INFO - Game 0042300224 processed successfully.
[2025-01-06T07:20:08.053+0000] {logging_mixin.py:150} INFO - Processing game ID: 0042300224
[2025-01-06T07:20:08.139+0000] {logging_mixin.py:150} INFO - Game 0042300224 processed successfully.
[2025-01-06T07:20:08.139+0000] {logging_mixin.py:150} INFO - Processing game ID: 0042300204
[2025-01-06T07:20:08.415+0000] {logging_mixin.py:150} INFO - Game 0042300204 processed successfully.
[2025-01-06T07:20:08.416+0000] {logging_mixin.py:150} INFO - Processing game ID: 0042300204
[2025-01-06T07:20:08.506+0000] {logging_mixin.py:150} INFO - Game 0042300204 processed successfully.
[2025-01-06T07:20:08.511+0000] {logging_mixin.py:150} INFO - Up to 50 game data for season 2023-24 have been sent to 'games' topic in Kafka.
[2025-01-06T07:20:08.513+0000] {python.py:183} INFO - Done. Returned value was: None
[2025-01-06T07:20:08.545+0000] {taskinstance.py:1350} INFO - Marking task as SUCCESS. dag_id=fetch_and_process_games, task_id=fetch_and_process_games_task, execution_date=20250106T071953, start_date=20250106T071955, end_date=20250106T072008
[2025-01-06T07:20:08.603+0000] {local_task_job_runner.py:225} INFO - Task exited with return code 0
[2025-01-06T07:20:08.622+0000] {taskinstance.py:2653} INFO - 0 downstream tasks scheduled from follow-on schedule check
